slang,formal
niyh,nih
nmr,nomor
nntn,nonton
no antri,nomor antrean
no hp ganti,perubahan nomor
nobar,nonton bareng
nomor antrean faskes,nomor antrean
nomor antrian,nomor antrean
nomor hp ganti,perubahan nomor
non pbi,peserta mandiri
now,sekarang
np,now playing
ntar,nanti
ntn,nonton
ntr,nanti
numpuk,bertumpuk
nutupin,menutupi
nyari,mencari
nyekar,menyekar
nyesal,sangat menyesal
nyesel,sangat menyesal
nyesel bgt,sangat menyesal
nyicil,mencicil
nyoblos,mencoblos
nyokap,ibu
obat,obat kesehatan
ogah,tidak mau
ok,oke
oke,oke
oke bgt,sangat bagus
okey,oke
ol,online
ongkir,ongkos kirim
oot,out of topic
operasi,layanan tindakan
ora,tidak
org2,orang-orang
ortu,orang tua
otda,otonomi daerah
otp,kode verifikasi sms otp
otp ga masuk,kode verifikasi sms otp tidak diterima
otp gagal,kode verifikasi
otp gak masuk,kode verifikasi sms otp tidak diterima
otp lama,kode verifikasi sms otp sangat lambat
otp tidak masuk,kode verifikasi sms otp tidak diterima
otw,sedang berjalan
overload,server penuh
pacal,pacar
pake,pakai
pakee,pakai
pakein,pakaikan
pakek,pakai
pala,kepala
pandawa,pelayanan administrasi
pansus,panitia khusus
pantek,kesal buruk
parah,sangat buruk
parah banget,sangat buruk mengecewakan
parah bgt,sangat buruk mengecewakan
parahh,sangat buruk
parahhh,sangat buruk
parpol,partai politik
parrah,sangat buruk
password,kata sandi
pasutri,pasangan suami istri
paten,sangat bagus
payah,sangat buruk
payah banget,sangat buruk mengecewakan
paylater,layanan paylater cicilan mandiri
pbi,peserta bantuan
pc,hubungi pribadi
pd,pada
pda,pada
pdhal,padahal
pdhl,padahal
pea,sangat bodoh
pede,percaya diri
pekok,bodoh buruk
pelatnas,pemusatan latihan nasional
peler,kesal buruk
pemda,pemerintah daerah
pemkot,pemerintah kota
pemred,pemimpin redaksi
pending,tertunda
penipu,penipuan merugikan
penjas,pendidikan jasmani
perda,peraturan daerah
perhatiin,perhatikan
persalinan,layanan persalinan
pesenan,pesanan
pgang,pegang
php,pemberi harapan
pi,tapi
pilkada,pemilihan kepala daerah
pin,nomor pin
pin keblokir,pin transaksi terblokir sistem
pin salah,kendala kesalahan input pin
pindah,mutasi
pindah faskes,perubahan fasilitas
pindah klinik,perubahan fasilitas
pindai wajah,pemindaian verifikasi wajah biometrik
pinjol,pinjaman
pisan,sangat
pk,penjahat kelamin
pkm,puskesmas
please,tolong
plg,paling
plis,tolong
plisss,tolong
pls,tolong
pm,pesan pribadi
pmrnth,pemerintah
pntk,umpatan sangat
polantas,polisi lalu lintas
poli,poliklinik dokter
poli anak,poliklinik anak
poli gigi,poliklinik gigi
poli mata,poliklinik mata
poli umum,poliklinik umum
ponpes,pondok pesantren
potong saldo,pemotongan saldo
pp,pulang pergi
praktis,praktis
praktiss,sangat mudah
premi,iuran premi
prg,pergi
priksa,periksa
prnh,pernah
program rehab,rencana pembayaran
psen,pesan
pst,pasti
pswt,pesawat
puas,puas
puas bgt,sangat puas
puass,puas
puasss,puas
puji tuhan,bersyukur sangat
pulsa habis,biaya pulsa
pulsa kepotong,pulsa seluler terpotong biaya sms
pulsa kesedot,pulsa seluler terpotong biaya sms
pungli,pungutan liar
pusing,sangat pusing
puskesmas,puskesmas
pw,kata sandi
pyh,sangat buruk
qmu,kamu
qris,sistem pembayaran qris mandiri
qrisnya,sistem pembayaran qris mandiri
ra,tidak
rajal,rawat jalan
rakor,rapat koordinasi
rampok,pemerasan merugikan
ranap,rawat inap
ranmor,kendaraan bermotor
rawat inap,layanan rawat
rawat jalan,layanan rawat
re,reply
real,benar-benar asli
recom,sangat direkomendasikan
recomended,sangat direkomendasikan
recommended,sangat direkomendasikan bagus
ref,referensi
reg,pendaftaran
regis,pendaftaran
registrasi,pendaftaran
rehab,program cicilan
reinstall,pasang ulang
rejected,ditolak
rek,nomor rekening
rekening,nomor rekening
rekomen,sangat direkomendasikan
rekomen bgt,sangat direkomendasikan bagus
reksadana,investasi reksa dana
rempong,sulit
repp,balas
resep,resep obat
restik,reserse narkotika
rewel,rusak lambat
rewell,rusak lambat
rhs,rahasia
ribet,rumit sulit
ribet bgt,sangat rumit
ribett,sangat rumit
riwayat faskes,riwayat kunjungan
riwayat pelayanan,riwayat rekam
rmh,rumah
rongsok,sangat rusak
rs,rumah sakit
rsu,rumah sakit
rsud,rumah sakit
rto,koneksi batas waktu request timeout habis
ru,baru
rubah,ganti
rujukan habis,masa berlaku
rujukan kadaluarsa,masa berlaku
rujukan mati,masa berlaku
rujukan online,rujukan berjenjang
ruko,rumah toko
runtah,sampah buruk
rusak,mengalami kerusakan
rusunawa,rumah susun sewa
ruwet,sangat rumit
ruwett,sangat rumit
ruz,terus
rv,redvelvet
saia,saya
sakit kepala,sangat pusing
saldo kepotong,saldo terpotong berkurang
salting,salah tingkah
sampah,buruk jelek
